# Model Spectrum: Old Kurucz model T = 3500.0 log(g) = 5.00000 z = 0.00
# No ISM extinction
# Normalization: A0V magnitude 9.000000 for filter 2MASS J
# 
# Wavelength (microns)   F_lambda (W/m^2/micron)   F_nu (Jy)
     0.00909000  0.000000e+00  0.000000e+00
     0.00935000  0.000000e+00  0.000000e+00
     0.00961000  0.000000e+00  0.000000e+00
     0.00977000  0.000000e+00  0.000000e+00
     0.00996000  0.000000e+00  0.000000e+00
     0.01020000  0.000000e+00  0.000000e+00
     0.01038000  0.000000e+00  0.000000e+00
     0.01056000  0.000000e+00  0.000000e+00
     0.01077000  0.000000e+00  0.000000e+00
     0.01104000  0.000000e+00  0.000000e+00
     0.01140000  0.000000e+00  0.000000e+00
     0.01178000  0.000000e+00  0.000000e+00
     0.01213000  0.000000e+00  0.000000e+00
     0.01248000  0.000000e+00  0.000000e+00
     0.01271000  0.000000e+00  0.000000e+00
     0.01284000  0.000000e+00  0.000000e+00
     0.01305000  0.000000e+00  0.000000e+00
     0.01324000  0.000000e+00  0.000000e+00
     0.01339000  0.000000e+00  0.000000e+00
     0.01366000  0.000000e+00  0.000000e+00
     0.01398000  0.000000e+00  0.000000e+00
     0.01433000  0.000000e+00  0.000000e+00
     0.01472000  0.000000e+00  0.000000e+00
     0.01510000  0.000000e+00  0.000000e+00
     0.01552000  0.000000e+00  0.000000e+00
     0.01588000  0.000000e+00  0.000000e+00
     0.01620000  0.000000e+00  0.000000e+00
     0.01660000  0.000000e+00  0.000000e+00
     0.01703000  0.000000e+00  0.000000e+00
     0.01734000  0.000000e+00  0.000000e+00
     0.01768000  0.000000e+00  0.000000e+00
     0.01802000  0.000000e+00  0.000000e+00
     0.01817000  0.000000e+00  0.000000e+00
     0.01861000  0.000000e+00  0.000000e+00
     0.01910000  0.000000e+00  0.000000e+00
     0.01939000  0.000000e+00  0.000000e+00
     0.01984000  0.000000e+00  0.000000e+00
     0.02018000  0.000000e+00  0.000000e+00
     0.02050000  0.000000e+00  0.000000e+00
     0.02105000  0.000000e+00  0.000000e+00
     0.02162000  0.000000e+00  0.000000e+00
     0.02198000  0.000000e+00  0.000000e+00
     0.02230000  0.000000e+00  0.000000e+00
     0.02268000  0.000000e+00  0.000000e+00
     0.02300000  0.000000e+00  0.000000e+00
     0.02340000  0.000000e+00  0.000000e+00
     0.02400000  0.000000e+00  0.000000e+00
     0.02465000  0.000000e+00  0.000000e+00
     0.02524000  0.000000e+00  0.000000e+00
     0.02568000  0.000000e+00  0.000000e+00
     0.02600000  0.000000e+00  0.000000e+00
     0.02640000  0.000000e+00  0.000000e+00
     0.02685000  0.000000e+00  0.000000e+00
     0.02735000  0.000000e+00  0.000000e+00
     0.02785000  0.000000e+00  0.000000e+00
     0.02840000  0.000000e+00  0.000000e+00
     0.02900000  0.000000e+00  0.000000e+00
     0.02960000  0.000000e+00  0.000000e+00
     0.03010000  0.000000e+00  0.000000e+00
     0.03080000  0.000000e+00  0.000000e+00
     0.03180000  0.000000e+00  0.000000e+00
     0.03280000  0.000000e+00  0.000000e+00
     0.03380000  0.000000e+00  0.000000e+00
     0.03480000  0.000000e+00  0.000000e+00
     0.03570000  0.000000e+00  0.000000e+00
     0.03660000  0.000000e+00  0.000000e+00
     0.03750000  0.000000e+00  0.000000e+00
     0.03850000  0.000000e+00  0.000000e+00
     0.03950000  0.000000e+00  0.000000e+00
     0.04050000  0.000000e+00  0.000000e+00
     0.04140000  0.000000e+00  0.000000e+00
     0.04220000  0.000000e+00  0.000000e+00
     0.04300000  0.000000e+00  0.000000e+00
     0.04410000  0.000000e+00  0.000000e+00
     0.04510000  0.000000e+00  0.000000e+00
     0.04600000  0.000000e+00  0.000000e+00
     0.04700000  0.000000e+00  0.000000e+00
     0.04800000  0.000000e+00  0.000000e+00
     0.04900000  0.000000e+00  0.000000e+00
     0.05000000  0.000000e+00  0.000000e+00
     0.05060000  0.000000e+00  0.000000e+00
     0.05120000  0.000000e+00  0.000000e+00
     0.05200000  0.000000e+00  0.000000e+00
     0.05300000  0.000000e+00  0.000000e+00
     0.05400000  0.000000e+00  0.000000e+00
     0.05500000  0.000000e+00  0.000000e+00
     0.05600000  0.000000e+00  0.000000e+00
     0.05700000  0.000000e+00  0.000000e+00
     0.05800000  0.000000e+00  0.000000e+00
     0.05900000  0.000000e+00  0.000000e+00
     0.06000000  0.000000e+00  0.000000e+00
     0.06100000  0.000000e+00  0.000000e+00
     0.06200000  0.000000e+00  0.000000e+00
     0.06300000  0.000000e+00  0.000000e+00
     0.06400000  0.000000e+00  0.000000e+00
     0.06500000  0.000000e+00  0.000000e+00
     0.06580000  0.000000e+00  0.000000e+00
     0.06650000  0.000000e+00  0.000000e+00
     0.06750000  0.000000e+00  0.000000e+00
     0.06850000  0.000000e+00  0.000000e+00
     0.06950000  0.000000e+00  0.000000e+00
     0.07050000  0.000000e+00  0.000000e+00
     0.07160000  0.000000e+00  0.000000e+00
     0.07260000  0.000000e+00  0.000000e+00
