Wavelength,xpos,ypos,order
0.6,1.19678,-27.07146,-1
0.7,2.7294,-28.23875,-1
0.8,3.56497,-29.70135,-1
0.9,4.09218,-31.30763,-1
1,4.45544,-32.99586,-1
1.1,4.72102,-34.73605,-1
1.2,4.9235,-36.51206,-1
1.3,5.08252,-38.31461,-1
1.4,5.20992,-40.13816,-1
1.5,5.31314,-41.97935,-1
1.6,5.39699,-43.83617,-1
1.7,5.46467,-45.7075,-1
1.8,5.51829,-47.59275,-1
1.9,5.55927,-49.49173,-1
2,5.58853,-51.40451,-1
2.1,5.60671,-53.33128,-1
2.2,5.61419,-55.27229,-1
2.3,5.61124,-57.2278,-1
2.4,5.59806,-59.19795,-1
2.5,5.57479,-61.18275,-1
2.6,5.54161,-63.18196,-1
2.7,5.49873,-65.19503,-1
2.8,5.4464,-67.22104,-1
2.9,5.385,-69.25857,-1
3,5.31498,-71.30566,-1
0.6,0.945149999999998,-15.99445,0
0.8,3.20507,-14.95387,0
1,4.00298,-14.54825,0
1.2,4.38879,-14.34199,0
1.4,4.60468,-14.22137,0
1.6,4.73583,-14.14411,0
1.8,4.81928,-14.09123,0
2,4.87343,-14.05313,0
2.2,4.90832,-14.02448,0
2.4,4.92983,-14.00215,0
2.6,4.9416,-13.98418,0
2.8,4.94595,-13.96931,0
3,4.94446,-13.95668,0
3.2,4.9382,-13.94569,0
3.4,4.92793,-13.93593,0
3.6,4.9142,-13.92708,0
3.8,4.89741,-13.91893,0
4,4.87786,-13.91129,0
4.2,4.85575,-13.90404,0
4.4,4.83127,-13.89708,0
4.6,4.80454,-13.89033,0
4.8,4.77564,-13.88372,0
5,4.74465,-13.8772,0
5.2,4.71162,-13.87072,0
0.6,0.673009999999998,-5.01343,1
0.7,2.09391,-2.5458,1
0.8,2.82793,-0.358990000000002,1
0.9,3.25873,1.69183,1
1,3.52929,3.66639,1
1.1,3.70549,5.5941,1
1.2,3.82191,7.49112,1
1.3,3.89836,9.36705,1
1.4,3.94698,11.22795,1
1.5,3.97556,13.07784,1
1.6,3.98933,14.91946,1
1.7,3.9919,16.7548,1
1.8,3.98583,18.5853,1
1.9,3.97299,20.41206,1
2,3.95476,22.23593,1
2.1,3.93218,24.05761,1
2.2,3.90605,25.87765,1
2.3,3.87699,27.6965,1
2.4,3.84547,29.51459,1
2.5,3.81187,31.33223,1
2.6,3.77648,33.14975,1
2.7,3.73955,34.96741,1
2.8,3.70126,36.78545,1
2.9,3.66174,38.60412,1
3,3.62109,40.42361,1
0.6,0.401299999999999,5.90349,2
0.65,1.2189,8.08383,2
0.7,1.77581,10.16309,2
0.75,2.17357,12.17661,2
0.8,2.46684,14.1448,2
0.85,2.68779,16.08043,2
0.9,2.85671,17.99194,2
0.95,2.98701,19.88517,2
1,3.08793,21.76429,2
1.05,3.16603,23.6324,2
1.1,3.22613,25.49182,2
1.15,3.27178,27.34436,2
1.2,3.30571,29.19144,2
1.25,3.33001,31.03421,2
1.3,3.34632,32.8736,2
1.35,3.35594,34.71038,2
1.4,3.3599,36.54522,2
1.45,3.35902,38.37867,2
1.5,3.35398,40.21122,2
0.6,0.136809999999997,16.7812,3
0.65,0.934269999999998,19.85661,3
0.7,1.47197,22.83319,3
0.75,1.85122,25.74604,3
0.8,2.1265,28.61563,3
0.85,2.32991,31.45487,3
0.9,2.48163,34.27242,3
0.95,2.59496,37.07437,3
1,2.67902,39.86518,3
