Wavelength,xpos,ypos,order
0.5,-0.7893566517136799,-25.91536937252246,-1.0
0.5,-1.0209906903228088,-16.535389074320932,0.0
0.5,-1.244280222628949,-7.493318114445685,1.0
0.5,-1.4672806793080329,1.5370467779501855,2.0
0.5,-1.6916936644348406,10.624611765331478,3.0
0.6,1.19678,-27.07146,-1.0
0.7,2.7294,-28.23875,-1.0
0.8,3.56497,-29.70135,-1.0
0.9,4.09218,-31.30763,-1.0
1.0,4.45544,-32.99586,-1.0
1.1,4.72102,-34.73605,-1.0
1.2,4.9235,-36.51206,-1.0
1.3,5.08252,-38.31461,-1.0
1.4,5.20992,-40.13816,-1.0
1.5,5.31314,-41.97935,-1.0
1.6,5.39699,-43.83617000000001,-1.0
1.7,5.464669999999999,-45.7075,-1.0
1.8,5.51829,-47.59275,-1.0
1.9,5.55927,-49.49173,-1.0
2.0,5.58853,-51.40451,-1.0
2.1,5.60671,-53.33128,-1.0
2.2,5.61419,-55.27229,-1.0
2.3,5.61124,-57.2278,-1.0
2.4,5.59806,-59.19795,-1.0
2.5,5.57479,-61.18275,-1.0
2.6,5.54161,-63.18196,-1.0
2.7,5.49873,-65.19503,-1.0
2.8,5.4464,-67.22104,-1.0
2.9,5.385,-69.25857,-1.0
3.0,5.31498,-71.30566,-1.0
0.6,0.945149999999998,-15.99445,0.0
0.8,3.20507,-14.953869999999998,0.0
1.0,4.00298,-14.548249999999998,0.0
1.2,4.38879,-14.34199,0.0
1.4,4.60468,-14.22137,0.0
1.6,4.73583,-14.14411,0.0
1.8,4.81928,-14.09123,0.0
2.0,4.87343,-14.05313,0.0
2.2,4.90832,-14.02448,0.0
2.4,4.92983,-14.002150000000002,0.0
2.6,4.9416,-13.984180000000002,0.0
2.8,4.94595,-13.969309999999998,0.0
3.0,4.94446,-13.95668,0.0
3.2,4.9382,-13.94569,0.0
3.4,4.92793,-13.93593,0.0
3.6,4.9142,-13.92708,0.0
3.8,4.897409999999999,-13.91893,0.0
4.0,4.87786,-13.91129,0.0
4.2,4.855749999999999,-13.90404,0.0
4.4,4.83127,-13.89708,0.0
4.6,4.80454,-13.89033,0.0
4.8,4.775639999999999,-13.883720000000002,0.0
5.0,4.74465,-13.8772,0.0
5.2,4.71162,-13.87072,0.0
0.6,0.673009999999998,-5.01343,1.0
0.7,2.09391,-2.5458,1.0
0.8,2.82793,-0.358990000000002,1.0
0.9,3.25873,1.69183,1.0
1.0,3.52929,3.66639,1.0
1.1,3.70549,5.5941,1.0
1.2,3.82191,7.49112,1.0
1.3,3.89836,9.36705,1.0
1.4,3.94698,11.227950000000002,1.0
1.5,3.97556,13.07784,1.0
1.6,3.98933,14.919459999999999,1.0
1.7,3.9919000000000002,16.7548,1.0
1.8,3.9858299999999995,18.585299999999997,1.0
1.9,3.97299,20.412059999999997,1.0
2.0,3.95476,22.23593,1.0
2.1,3.93218,24.057610000000004,1.0
2.2,3.90605,25.87765,1.0
2.3,3.87699,27.6965,1.0
2.4,3.84547,29.51459,1.0
2.5,3.81187,31.33223,1.0
2.6,3.77648,33.14975,1.0
2.7,3.73955,34.96741,1.0
2.8,3.70126,36.78545,1.0
2.9,3.66174,38.60412,1.0
3.0,3.62109,40.423610000000004,1.0
0.6,0.401299999999999,5.90349,2.0
0.65,1.2189,8.08383,2.0
0.7,1.77581,10.16309,2.0
0.75,2.17357,12.17661,2.0
0.8,2.46684,14.1448,2.0
0.85,2.68779,16.08043,2.0
0.9,2.8567100000000005,17.99194,2.0
0.95,2.98701,19.885169999999995,2.0
1.0,3.08793,21.764290000000003,2.0
1.05,3.16603,23.6324,2.0
1.1,3.22613,25.49182,2.0
1.15,3.27178,27.34436,2.0
1.2,3.30571,29.191440000000004,2.0
1.25,3.3300099999999997,31.03421,2.0
1.3,3.34632,32.8736,2.0
1.35,3.35594,34.71038,2.0
1.4,3.3599,36.54522,2.0
1.45,3.35902,38.37867,2.0
1.5,3.35398,40.21121999999999,2.0
0.6,0.136809999999997,16.7812,3.0
0.65,0.934269999999998,19.85661,3.0
0.7,1.47197,22.83319,3.0
0.75,1.85122,25.74604,3.0
0.8,2.1265,28.61563,3.0
0.85,2.32991,31.45487,3.0
0.9,2.48163,34.27242,3.0
0.95,2.59496,37.07437,3.0
1.0,2.67902,39.86518,3.0
3.1,5.253440610140751,-73.33754543177778,-1.0
3.2,5.191901220281502,-75.36943086355555,-1.0
3.3000000000000003,5.130361830422253,-77.40131629533333,-1.0
3.4000000000000004,5.068822440563005,-79.4332017271111,-1.0
3.5000000000000004,5.007283050703756,-81.46508715888889,-1.0
3.6000000000000005,4.945743660844508,-83.49697259066664,-1.0
3.7000000000000006,4.884204270985259,-85.52885802244444,-1.0
3.8000000000000007,4.82266488112601,-87.56074345422219,-1.0
3.900000000000001,4.76112549126676,-89.59262888599997,-1.0
4.000000000000001,4.699586101407513,-91.62451431777777,-1.0
4.100000000000001,4.638046711548264,-93.65639974955553,-1.0
4.200000000000001,4.576507321689014,-95.68828518133331,-1.0
4.300000000000001,4.5149679318297675,-97.72017061311107,-1.0
4.400000000000001,4.453428541970517,-99.75205604488886,-1.0
4.500000000000002,4.3918891521112675,-101.78394147666663,-1.0
4.600000000000001,4.33034976225202,-103.8158269084444,-1.0
4.700000000000001,4.26881037239277,-105.84771234022215,-1.0
4.800000000000002,4.2072709825335215,-107.87959777199994,-1.0
4.900000000000002,4.145731592674274,-109.91148320377773,-1.0
5.000000000000002,4.084192202815024,-111.94336863555549,-1.0
3.1,3.5737459582558504,42.241756601980086,1.0
3.2,3.525307865077612,44.0598761868936,1.0
3.3000000000000003,3.4758628500302633,45.87797090636265,1.0
3.4000000000000004,3.4254853754645005,47.6960425991987,1.0
3.5000000000000004,3.3742393865114244,49.51409284449554,1.0
3.6000000000000005,3.322179858103086,51.33212299983231,1.0
